SMILES,property_CpG_Abs,property_LPS_Abs,property_LPS_Lum,property_MPLA_Abs,property_MPLA_Lum,property_cGAMP_Abs,property_cGAMP_Lum
CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N.O=C(O)/C=C/C(=O)O,0,0,0,0,0,1,0
COc1ccc(-c2cc(=O)oc3cc(OCc4cc5c(cc4Cl)OCO5)ccc23)cc1,0,0,0,0,0,0,0
O=S(=O)(Nc1ccnc2ccccc12)c1ccccc1,0,0,0,0,0,0,0
CC1(C)CC(=O)C2=C(C1)OC(N)=C(C#N)C2c1ccccc1C(F)(F)F,0,0,0,0,0,0,0
CCC(=O)Nc1ccc(N2CCOCC2)c(Cl)c1,0,0,0,0,0,0,0
NC(=O)NO,0,0,0,0,0,0,0
CC1CCC2C(C)C(OC(=O)CCC(=O)O)OC3OC4(C)CCC1C32OO4,0,0,1,0,1,0,0
CCN(CC)CCN1C(=O)C(O)=C(C(=O)c2ccc(C)cc2)C1c1ccccc1,0,0,0,0,0,0,0
Cc1ccc(C=CC(=O)O)cc1S(=O)(=O)NCCO,0,0,0,0,0,0,0
O=c1cc(-c2ccc(O)cc2)oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12,0,0,0,0,0,0,0
Cc1ccccc1-c1noc(-c2cc3ccccc3oc2=O)n1,0,0,0,0,0,0,0
COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C1CC(O)C2C,0,0,0,0,0,0,0
CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nc(=O)o[nH]2)cc1,0,0,0,0,0,0,0
Cl.Cl.OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,0,0,0,0,0,0,0
O=C(Oc1coc(CSc2ncccn2)cc1=O)c1ccc([N+](=O)[O-])cc1,0,0,1,0,0,0,0
CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2,0,0,0,0,0,0,0
CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,0,0,0,0,0,0,0
COc1cc(-n2c(S)nc3ccccc3c2=O)c(Cl)cc1Cl,0,0,1,0,0,0,0
Oc1c(F)cc(-c2cnccc2-c2ccc(N3CCOCC3)cc2)cc1F,0,0,0,0,0,0,0
Cc1cc(Cl)ccc1OCCCC(=O)NO,0,0,1,0,1,1,1
Cc1cc(OC2CN(C(=O)Cn3nnc4ccccc43)C2)cc(=O)n1C1CC1,0,0,0,0,0,0,0
Nc1n[nH]c2nnc(-c3c(-c4ccccc4)nn4ccccc34)cc12,1,0,0,0,0,0,1
COc1ccc(NC(=O)CN(c2ccc(F)cc2)S(C)(=O)=O)c(OC)c1,0,0,0,0,0,0,0
