depth,width,dropout,mlp,rmlp
1,100,0.2,0.05418233087647102,0.054928284020485246
1,250,0.2,0.05585294593497118,0.0557391078333521
1,400,0.2,0.0562252466150209,0.05383182921238468
1,550,0.2,0.05261157608449046,0.05324002022232372
1,700,0.2,0.05447666279457421,0.051806369791879706
1,850,0.2,0.057397202382630755,0.051908754572951146
1,100,0.3,0.05822665620779756,0.05715438684753076
1,250,0.3,0.05702803302910494,0.055854059173656226
1,400,0.3,0.05464272553583091,0.056011907145954165
1,550,0.3,0.055233716006453465,0.056217039181082645
1,700,0.3,0.05632154071526362,0.05349571324452225
1,850,0.3,0.0562237823727211,0.053664604634349036
1,100,0.4,0.05728187468510841,0.05338131476797881
1,250,0.4,0.057006371788980936,0.056923638292083696
1,400,0.4,0.05685098572400077,0.05480389824265701
1,550,0.4,0.05847939243445883,0.05533314930031414
1,700,0.4,0.054973511752289386,0.05388626798344132
1,850,0.4,0.056922390614636165,0.050942618045555874
1,100,0.5,0.0534236663892866,0.05457291170237444
1,250,0.5,0.05718466043674722,0.05823993287051332
1,400,0.5,0.057608984643244314,0.05526700743250253
1,550,0.5,0.05612631179592272,0.05603407124830012
1,700,0.5,0.05595883664805022,0.05575841684281319
1,850,0.5,0.05704301255102648,0.05852620885781497
1,100,0.6,0.04642771280868145,0.04987256973471019
1,250,0.6,0.05920679492886073,0.055680813681891976
1,400,0.6,0.05559102030509776,0.057047613074900125
1,550,0.6,0.05816319899740766,0.05700093394210862
1,700,0.6,0.059483352024056906,0.05556760491670563
1,850,0.6,0.053754079609541296,0.05506918058363036
2,100,0.2,0.05494119915616587,0.05645754141113013
2,250,0.2,0.05539752897448703,0.0514472377029329
2,400,0.2,0.05533341342215657,0.055006827485419754
2,550,0.2,0.05442569408708063,0.05183405221212066
2,700,0.2,0.05568855004202768,0.05064267321161567
2,850,0.2,0.05591612537499131,0.0524031894768595
2,100,0.3,0.05483827228614734,0.05551495664464744
2,250,0.3,0.06112878102436929,0.05894341809146817
2,400,0.3,0.05768581809708623,0.054747166732897715
2,550,0.3,0.05899998044567881,0.053592928997205365
2,700,0.3,0.05377591928344651,0.0533578996038077
2,850,0.3,0.05614854053750783,0.0520232740221808
2,100,0.4,0.04884621302885595,0.05405482738251185
2,250,0.4,0.05627300078480649,0.05449986748500993
2,400,0.4,0.04986288765733764,0.05201952988268939
2,550,0.4,0.05810225285049511,0.054658271159665255
2,700,0.4,0.0523090366628577,0.05448049843554584
2,850,0.4,0.05306982442929114,0.05258881766361271
2,100,0.5,0.04453435250199262,0.051537182054801844
2,250,0.5,0.047950188848218056,0.05766941413541909
2,400,0.5,0.04964977633785406,0.05302320551716272
2,550,0.5,0.05657182605954611,0.056229529170162384
2,700,0.5,0.05528845865278905,0.05312404312196545
2,850,0.5,0.05290110128537999,0.05389042899173616
2,100,0.6,0.032135739584956705,0.047636357407846955
2,250,0.6,0.044960101727758536,0.05380846576972806
2,400,0.6,0.05126815108744806,0.055515674374710056
2,550,0.6,0.052090587730902305,0.05326337017626099
2,700,0.6,0.04925752640015943,0.053604903534940816
2,850,0.6,0.051526719219279274,0.05016213779169428
3,100,0.2,0.04716633080297812,0.05258003820430851
3,250,0.2,0.04869677202884281,0.05055388597430852
3,400,0.2,0.05723212850109145,0.04883097720492758
3,550,0.2,0.05275368237356266,0.05206637259254979
3,700,0.2,0.056107011806492114,0.05043601305697711
3,850,0.2,0.056202784253413005,0.048741316867114005
3,100,0.3,0.04724889875786326,0.052798178244537405
3,250,0.3,0.04824637187667943,0.052762526503436796
3,400,0.3,0.05617377476175388,0.051057460082231026
3,550,0.3,0.05072439378749667,0.05111489074832941
3,700,0.3,0.056402847600418166,0.052432733557014354
3,850,0.3,0.05162428930540826,0.047908570122723614
3,100,0.4,0.04526356648224207,0.050920802792954536
3,250,0.4,0.04265267671127044,0.05123840706761846
3,400,0.4,0.04268015047053983,0.04929477371836853
3,550,0.4,0.04977391677707932,0.050194445715269334
3,700,0.4,0.04419880177412876,0.047509293189481765
3,850,0.4,0.055365546587860366,0.05031347533007788
3,100,0.5,0.03878511328232045,0.049155494656029385
3,250,0.5,0.04451661768670323,0.05211586515150288
3,400,0.5,0.0450039150675659,0.05022579957803773
3,550,0.5,0.04488837523818383,0.050405980298505265
3,700,0.5,0.04519924386965965,0.04859937489519133
3,850,0.5,0.040834383083601315,0.05039776119515224
3,100,0.6,0.010083699102428206,0.048325678376884965
3,250,0.6,0.018879208002841256,0.05142578480310772
3,400,0.6,0.0379595100497197,0.05070067937785414
3,550,0.6,0.04243992878563434,0.05063433663553765
3,700,0.6,0.04353388349623471,0.049022838225492665
3,850,0.6,0.041341929085273774,0.051904770611703115
4,100,0.2,0.0466350657605242,0.0516710781514526
4,250,0.2,0.04172492724828049,0.04936616256545379
4,400,0.2,0.04640974160742008,0.04696717707841898
4,550,0.2,0.051389256576612516,0.04556887381686744
4,700,0.2,0.04992616485658063,0.045526769509955045
4,850,0.2,0.05520615979566969,0.04597353732599819
4,100,0.3,0.043143761836525546,0.049850564936936764
4,250,0.3,0.04140273817140258,0.04750329051686658
4,400,0.3,0.04023190680292079,0.04374745584768361
4,550,0.3,0.04633415074045341,0.04616693602256461
4,700,0.3,0.03973093454016311,0.04575437364276605
4,850,0.3,0.043694638221588075,0.04704527625373079
4,100,0.4,0.01830098340118997,0.051382679408476704
4,250,0.4,0.04040569549204454,0.04850199219906989
4,400,0.4,0.040229518265007876,0.04630064941559278
4,550,0.4,0.040166802709000755,0.04629528532585604
4,700,0.4,0.03932894384991741,0.04695982692621996
4,850,0.4,0.038964307326200986,0.046876745288472216
4,100,0.5,0.015600573611314363,0.04898067796928769
4,250,0.5,0.017071890284189317,0.04933224274156397
4,400,0.5,0.03039269095171583,0.04902139276432739
4,550,0.5,0.039394246122632724,0.04794072807031951
4,700,0.5,0.03649702864274412,0.0463644339194951
4,850,0.5,0.040397181882467506,0.04577819907473745
