SMILES,property_CpG_Abs,property_LPS_Abs,property_LPS_Lum,property_MPLA_Abs,property_MPLA_Lum,property_cGAMP_Abs,property_cGAMP_Lum
CC(=NNC(=O)COc1ccc(Cl)cc1[N+](=O)[O-])c1cccc(Br)c1,0.1374709346104449,0.24526466822260728,0.9948081626374485,-0.6690269489425532,0.30814759092681193,0.06295547842246779,0.37990274842946575
CC(C)(Sc1ccncc1-c1ccc(C#N)c2ccccc12)C(=O)O,0.005533149294293672,0.13059979103548994,-0.19051475216080974,-0.14164780649947362,0.6548917263529809,0.3154452538700462,0.09613418060634636
CCN(CC)c1ccc2cc(-c3nnc(NCc4ccc(F)cc4)s3)c(=O)oc2c1,0.4759407876308165,-0.31344062609896023,0.13422278080925665,-0.5873176146488266,-0.34366156941201925,-0.022559146864029836,0.2907141128380636
CCCCCCCCCCCCCCCCOc1nc2ccc(C)cc2c(=O)o1,0.32434573551813595,0.706622552919708,-0.024332644593695177,0.075236311247381,0.49841230239131223,0.21349182108939116,0.3813666046487832
[O-][n+]1cccc(CO)c1,1.5274945020338853,2.3355268508899303,-0.0812232724908975,4.868585298017757,0.8491747498060596,8.940051374599541,0.6754762800829194
COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC,1.13534766925358,-0.9314338125388162,0.41457707726407383,0.21374788574233838,1.1072088671388498,-0.18452822652709563,-0.3488968046820312
CN(C(=O)CNC(=O)/C=C/c1cccc(Cl)c1)C1CCS(=O)(=O)CC1,-0.12753986318697763,-0.09903147699075003,-0.34938482678907806,-0.873708827708676,0.2131325354950465,0.2894571835478702,-0.40977247208395573
O=C(O)c1cc(NC(=O)c2ccc(Cl)c([N+](=O)[O-])c2)cc(C(=O)O)c1,0.4560150817229057,-0.24395397847489475,0.029064400825741424,-0.06823740405318472,-0.017304764782387856,-0.22137176869215416,0.4800469931431791
CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CC(=O)NO)CC(C)C,0.5132576122112227,0.9182580028836143,0.09979020203812589,0.18177132557885925,0.10754863810279419,-0.8101553065733432,0.1545440924237615
CN1CCN(C2=NC(=O)C(=Cc3ccc(Cl)cc3Cl)S2)CC1,-0.2645225096273429,-0.6958126777749333,0.8938601027769263,0.47484938401651355,1.288573632257051,-0.9227791891900013,0.3235882529656321
Cc1occc1C(=O)Nc1ccc([N+](=O)[O-])cc1Cl,-0.10936052373337107,-0.7367618499046862,-0.2848904742999009,-0.6292862181802824,-0.7352169014411032,1.3260033590502887,0.46275695958931645
