depth,width,dropout,mlp,vmlp
1,50,0.1,0.0587321072816848,0.0412798523902893
1,100,0.1,0.0612904578447341,0.0406887382268905
1,150,0.1,0.0572658628225326,0.0385595560073852
1,200,0.1,0.0625024288892746,0.0315836817026138
1,250,0.1,0.0568841397762298,0.0321590900421142
1,300,0.1,0.0602805763483047,0.0368890613317489
1,350,0.1,0.0613491088151931,0.0407347828149795
1,400,0.1,0.059778481721878,0.0358133763074874
1,450,0.1,0.0601031929254531,0.038521185517311
1,500,0.1,0.0570366978645324,0.0354207903146743
1,50,0.2,0.0483919233083725,0.0476080924272537
1,100,0.2,0.0539364516735076,0.0462495684623718
1,150,0.2,0.0542445629835128,0.042860209941864
1,200,0.2,0.0555096715688705,0.0409949123859405
1,250,0.2,0.0591863095760345,0.0414420813322067
1,300,0.2,0.0630062371492385,0.0348564237356185
1,350,0.2,0.0601376742124557,0.0344560444355011
1,400,0.2,0.0602351576089859,0.0349815338850021
1,450,0.2,0.0554840564727783,0.0387860536575317
1,500,0.2,0.0603925436735153,0.0331627577543258
1,50,0.3,0.0625720769166946,0.0520147979259491
1,100,0.3,0.0590481013059616,0.051428198814392
1,150,0.3,0.0608128607273101,0.0490554571151733
1,200,0.3,0.0560426712036132,0.048437476158142
1,250,0.3,0.0565170049667358,0.0414396673440933
1,300,0.3,0.0535402446985244,0.0400264710187912
1,350,0.3,0.0590884834527969,0.043152704834938
1,400,0.3,0.0619545578956604,0.0381067097187042
1,450,0.3,0.0613811016082763,0.0392716079950332
1,500,0.3,0.0568029135465621,0.037471204996109
1,50,0.4,0.0675136446952819,0.0456746667623519
1,100,0.4,0.0623948574066162,0.0576250851154327
1,150,0.4,0.0643716156482696,0.0518054217100143
1,200,0.4,0.0590347349643707,0.0533699840307235
1,250,0.4,0.0574492663145065,0.0458975285291671
1,300,0.4,0.0550706088542938,0.0478890091180801
1,350,0.4,0.0558186173439025,0.0467352420091629
1,400,0.4,0.060822457075119,0.0454234778881073
1,450,0.4,0.0582178980112075,0.0427113771438598
1,500,0.4,0.0562939494848251,0.0466774106025695
1,50,0.5,0.0536181777715683,0.0533746629953384
1,100,0.5,0.0625351071357727,0.0614923983812332
1,150,0.5,0.0580722987651824,0.0643592178821563
1,200,0.5,0.0652479231357574,0.0603047758340835
1,250,0.5,0.057331696152687,0.056022971868515
1,300,0.5,0.056409478187561,0.0578818619251251
1,350,0.5,0.0587683916091918,0.0582685768604278
1,400,0.5,0.0569733530282974,0.0519252866506576
1,450,0.5,0.0585493594408035,0.0558782666921615
1,500,0.5,0.0576694905757904,0.0523246079683303
1,50,0.6,0.0632885098457336,0.0433617979288101
1,100,0.6,0.0659179091453552,0.0644478201866149
1,150,0.6,0.0588666051626205,0.0701586604118347
1,200,0.6,0.0595670044422149,0.0626754611730575
1,250,0.6,0.0575962364673614,0.0659709721803665
1,300,0.6,0.0608182102441787,0.0622044056653976
1,350,0.6,0.0661651194095611,0.0630466938018798
1,400,0.6,0.0595872998237609,0.0573585480451583
1,450,0.6,0.0617095381021499,0.0563283860683441
1,500,0.6,0.0601793527603149,0.0613795220851898
1,50,0.7,0.0527018159627914,0.0359432995319366
1,100,0.7,0.0705921500921249,0.0521483868360519
1,150,0.7,0.0715008825063705,0.067064568400383
1,200,0.7,0.060853824019432,0.0673465877771377
1,250,0.7,0.0603965669870376,0.0647516250610351
1,300,0.7,0.063698410987854,0.0680327266454696
1,350,0.7,0.0585157871246337,0.0647955536842346
1,400,0.7,0.064533844590187,0.0667072832584381
1,450,0.7,0.0599684417247772,0.06290765106678
1,500,0.7,0.055702582001686,0.0687647461891174
1,50,0.8,0.0241039991378784,0.0087247490882873
1,100,0.8,0.0635694116353988,0.0433442592620849
1,150,0.8,0.0686630308628082,0.0586379617452621
1,200,0.8,0.0627101361751556,0.068564549088478
1,250,0.8,0.0781051665544509,0.0767792910337448
1,300,0.8,0.0685631781816482,0.0663226693868637
1,350,0.8,0.068993255496025,0.0678405910730362
1,400,0.8,0.071284994482994,0.0699552595615387
1,450,0.8,0.0641532391309738,0.0737414360046386
1,500,0.8,0.0614002794027328,0.0711191594600677
2,50,0.1,0.0542700290679931,0.0404219478368759
2,100,0.1,0.0517987608909606,0.0412171334028244
2,150,0.1,0.0495778918266296,0.0401801466941833
2,200,0.1,0.049804538488388,0.0380648225545883
2,250,0.1,0.0506858527660369,0.0373561978340148
2,300,0.1,0.049933448433876,0.0331586599349975
2,350,0.1,0.0500708669424057,0.0326230376958847
2,400,0.1,0.0487239211797714,0.0335572659969329
2,450,0.1,0.0442125499248504,0.0358080267906188
2,500,0.1,0.0481232702732086,0.0353372395038604
2,50,0.2,0.0512246936559677,0.0528655648231506
2,100,0.2,0.0561580210924148,0.0466985255479812
2,150,0.2,0.0539567023515701,0.0436145663261413
2,200,0.2,0.0521902590990066,0.0444587618112564
2,250,0.2,0.0441698133945465,0.0371728241443634
2,300,0.2,0.0457099676132202,0.0429322123527526
2,350,0.2,0.0415071696043014,0.0444198697805404
2,400,0.2,0.0541251450777053,0.0406655669212341
2,450,0.2,0.0461808145046234,0.0404797792434692
2,500,0.2,0.0455716103315353,0.0384099185466766
2,50,0.3,0.051035389304161,0.0460098534822464
2,100,0.3,0.0560382157564163,0.0477539449930191
2,150,0.3,0.0521913915872573,0.0492305159568786
2,200,0.3,0.0474307537078857,0.053502082824707
2,250,0.3,0.0475745201110839,0.0478462278842926
2,300,0.3,0.0525573939085006,0.0444641262292861
2,350,0.3,0.0541546493768692,0.0483559668064117
2,400,0.3,0.0502653717994689,0.0441206842660903
2,450,0.3,0.0525725036859512,0.0413910299539566
2,500,0.3,0.0458974093198776,0.0462019741535186
2,50,0.4,0.0615973472595214,0.0527922511100769
2,100,0.4,0.0595742613077163,0.0522502064704895
2,150,0.4,0.0473998039960861,0.0499531328678131
2,200,0.4,0.048660859465599,0.0516229271888732
2,250,0.4,0.04683418571949,0.046759083867073
2,300,0.4,0.0423650443553924,0.0484059453010559
2,350,0.4,0.0472560822963714,0.0482578426599502
2,400,0.4,0.0464468300342559,0.0483045130968093
2,450,0.4,0.0528589040040969,0.0481622219085693
2,500,0.4,0.0464005023241043,0.0465326160192489
2,50,0.5,0.0467029958963394,0.0488337278366088
2,100,0.5,0.0637903064489364,0.062458336353302
2,150,0.5,0.0518629848957061,0.0549183338880538
2,200,0.5,0.0426547974348068,0.0485541373491287
2,250,0.5,0.0506546944379806,0.0513062626123428
2,300,0.5,0.0523176342248916,0.0505026280879974
2,350,0.5,0.0460292547941207,0.0498816519975662
2,400,0.5,0.0485153049230575,0.0475683659315109
2,450,0.5,0.0484617948532104,0.0520863533020019
2,500,0.5,0.0492341518402099,0.0518322885036468
2,50,0.6,0.0481931567192077,0.0276449918746948
2,100,0.6,0.0622337609529495,0.0654117614030838
2,150,0.6,0.0457812845706939,0.0601860433816909
2,200,0.6,0.0569890290498733,0.0568433851003646
2,250,0.6,0.0474707186222076,0.0616688132286071
2,300,0.6,0.0506517887115478,0.0587796419858932
