SMILES,property_LPS_Abs,property_LPS_Lum,property_MPLA_Abs,property_MPLA_Lum,property_CpG_Abs,property_cGAMP_Abs,property_cGAMP_Lum
Cc1ccc(CSCCNC(=O)CN(c2cccc(C)c2)S(C)(=O)=O)cc1,1.0071815005302316,1.4427012173897218,0.990044888160781,1.147851471540735,0.950713658078091,0.9431784487547142,0.997502263665726
Cc1ccccc1C(=O)Nc1nc(C(C)(C)C)cs1,0.996979524476598,1.2342583531860236,1.1185683356920135,1.3544951930579252,0.518553180479612,1.0124482898138374,0.7772729298596496
Cc1ccc(NC(=O)c2cccc(C(C)(C)C#N)c2)cc1Nc1ccc2ncn(C)c(=O)c2c1,2.500906706,0.808068335,1.543297291,0.925834656,1.094624877,1.167723656,0.559407115
CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,1.7748683583115,0.8182384807746057,2.361044940143868,1.0973667933283946,2.41469893291801,1.1924333375743736,0.6701751049944382
CN1C2CCC1CC(OC(=O)[C@H](CO)c1ccccc1)C2,0.960864155047165,0.9681254159309955,0.9838976052652926,0.8576270617290656,1.0476653729681469,0.8671661103618078,0.9554024235410432
Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC(CCO)CCO)nc21,0.8123900890000001,1.168395162,0.805091381,1.241654158,0.63899368,1.039422512,0.850727022
CCOP(C)(=O)C(c1ccccc1)N(C)S(C)(=O)=O,1.0440584281759864,1.661865806912969,1.0325155054344477,1.2183961395703449,1.0144016280417525,0.8994788879098723,1.0291467086553467
CCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CC)c1=O,1.2698261589623652,1.2109246551610202,1.137491589120966,1.3205401348441006,1.5566183301703085,0.7574490276621302,0.7213550181365738
COc1ccc(C(=O)C=Cc2cc(OC)c(OC)c(OC)c2)c(OC)c1,0.3523243513616805,0.3984464347900893,0.4883425640896156,0.1461433289164319,1.312794946364848,0.4921578898181789,0.1343334059941361
O=C(NC(=S)Nc1ccc2[nH]c(=O)[nH]c2c1)c1ccc(Cl)cc1,1.1294621081627207,1.0289744321561385,0.9503459732653824,0.9935739555093208,0.9577486631377424,0.906846760621203,0.939614222467827
CC(C)NCC(O)COc1cccc2[nH]c3ccccc3c12,1.121691108,0.836381495,0.98213923,1.055026054,0.92084837,1.054352522,1.051613331
Cc1ccc(CSc2nc3sc4c(c3c(=O)n2-c2ccccc2)CC(C)(C)OC4)c(C)c1,1.0607453122137915,1.4084706469893455,0.9101085402484348,1.0980844587678078,0.9837788002704226,0.9478038736336292,1.0461131747955676
Cl.Clc1ccc2nsnc2c1NC1=NCCN1,0.928647339,1.051327705,0.8809956309999999,0.7462620740000001,0.948808908,1.083388686,0.945324183
CC1(C)OC[C@@H](COC(=O)CCc2ccc(OC[C@@H](O)CNCCNC(=O)N3CCOCC3)cc2)O1.Cl,0.9656324626778824,0.9704325347830044,0.987083997184759,0.8318324536855632,1.0500096225207247,1.0603090809028406,0.9849512371810312
Cc1cc(C)n(CCC(=O)N2CCc3nc4ccc(F)cn4c(=O)c3C2)n1,0.9380699294369078,1.2688508721127063,1.0117831897921112,1.2053620095854565,1.0174125749514595,0.9595175445656512,1.0273625169119756
Cc1ccc(NS(=O)(=O)c2cc3c4c(cccc4c2)C(=O)NC3=O)cc1C,0.3810171283691614,0.9078590600346508,0.8748421043750347,0.8148602162187895,0.5351764103020373,0.6063107580174585,0.5323343706964203
CCCCOC(=O)C1=C(C)NC2=C(C(=O)CCC2)C1c1cccc(C(F)(F)F)c1,1.007285096134113,1.5598232116737794,0.9394866229491616,1.146065502085397,0.9810138596045264,0.8887116790965417,0.9934395180785623
Cn1cc(-c2cc(CNC(=O)c3cncc(Br)c3)ccn2)cn1,1.0549802278649505,1.0999428859109617,1.1474333715905556,1.2976289222248705,0.9195501984856154,1.018763631024491,0.872032058282155
Cc1cc(OCC(=O)NNC(=O)COc2ccc(Br)cc2Br)cc(C)c1Cl,0.8573699949170785,0.98721999621679,0.984996480603137,0.9800985521725922,0.960525413848907,0.9476124319732308,0.8947000544811785
CCS(=O)(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1.Cl,0.3552292699873955,0.3005871585382619,0.6223180992639696,0.3241942526395636,1.0813291614630618,0.7309621281320473,0.0972966634703099
CC(C)(Oc1ccc(CCNC(=O)c2ccc(-c3ccc(Cl)cc3)o2)cc1)C(=O)O,1.0330719733836662,1.3942644456630635,0.9759390127135226,1.0801667391802017,1.088813235564364,0.907812318625492,0.9424226035500624
CC(c1ncncc1F)C(O)(Cn1cncn1)c1ccc(F)cc1F,1.187668324,0.8934369090000001,0.847511053,0.638705969,1.071518898,1.206080437,1.108643293
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,1.1823035226329284,0.7031679777911122,1.736549594198202,0.691427375237832,0.2283328720216382,1.8797330235989385,0.413835824600532
Brc1ccc(C2CN3CCSC3=N2)cc1.O=C(O)C(=O)O,1.484152794,0.728066683,1.013033628,1.033199549,0.8875074390000001,1.087897301,1.031485915
CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,1.0384762045266935,0.9782162707918762,1.011534486251969,0.8721858827991853,0.9349555908529076,0.7892959291867949,0.8560842160708442
