property_CpG_Abs,property_LPS_Abs,property_LPS_Lum,property_MPLA_Abs,property_MPLA_Lum,property_cGAMP_Abs,property_cGAMP_Lum,logp,logmr,qed,logsas
0.11067305320956067,0.027975370563373958,0.0755652381145776,0.021444639387026787,0.04325106141687063,0.019510058786683437,0.11877286170919454,0.7289285303548854,0.9534143897797092,0.7090167567737041,0.7341593495143809
0.12323406146762539,-0.029997024810589412,0.0984282188868083,-0.010041343942894798,0.04518983503486129,0.018019050031954698,0.13032743278797576,0.7512955137602115,0.9626410244592534,0.7245114762633282,0.7469098877822202
0.08791638731688789,0.015044933260565108,0.07364109269823738,0.023662455735653287,0.05489702448373057,0.019445655744259938,0.09723840463536637,0.7537267959429134,0.9614398808276992,0.6926881104258276,0.7344149502889376
0.0759012885726622,0.01354975781317258,0.04096817545102971,0.028384670525260614,0.03068370161888201,0.014815012228556856,0.074991064892315,0.7457379199534366,0.956844176395752,0.7098735881307976,0.7324147314099466
0.11994305770703229,0.0023749068579599353,0.0815270875254902,0.021190479665502582,0.04073365114913796,0.020909973830416706,0.13207503022036382,0.7352762267430903,0.9633698309232228,0.7002800213081626,0.7427885726250227
0.10795418820618774,-0.059061327829529775,0.07981125319005611,0.019738962421938844,0.05203280323755444,0.0012317642429490183,0.11965911286150399,0.7937118517294814,0.9596029492301363,0.7241659301142355,0.7564264545409604
0.09772045304191224,0.027667172722229405,0.05520034376068761,0.030734975585872015,0.03717460350779833,0.019512755129860282,0.10126398296860195,0.7531302779549592,0.9589706970363667,0.7101902564268366,0.7317429589045819
0.11895841025025267,0.008786906967405583,0.06457704387181795,0.018576280732694683,0.03742052336096702,0.020325997558633957,0.11705884045350279,0.7617745515198482,0.9609348426968496,0.6906555823215077,0.7024292184263488
0.12794538538788536,0.03893294682964443,0.09049992183475852,0.03814058341446691,0.04469091862118213,0.01781568577674486,0.1219198043399421,0.7595162876491625,0.9520480818634736,0.6972846567815312,0.7414003475591678
0.11870767281744776,-0.016669239094120325,0.08348186674908109,-0.003268773398166669,0.03528625855442569,0.020319853755982997,0.11738449387642425,0.7480734192429218,0.9649538863581121,0.7189835026378943,0.7391464481535521
0.10663450769105687,0.0192402220404837,0.06034947671701385,0.025179771736837164,0.037139916810780105,0.015997052017230007,0.10263043700304808,0.7463653940199702,0.9598878459825503,0.7062544127180304,0.7429056390226956
0.12681071277715317,0.01885059079100815,0.08917827186074967,0.014649754326024333,0.05362208061255891,0.019847673406416577,0.13738566453572498,0.7446415837414995,0.9582233904902501,0.7095124819758671,0.7309122917841402
0.11990155621030152,0.014525103543136741,0.07608624505835537,0.007711528235534004,0.04669487330273625,0.01722609518918372,0.11310363744533014,0.7623080832307653,0.9658494013574344,0.7131470941505942,0.7474757647891501
