SMILES,Viability Mask 1,Viability Mask 2,LPS Abs,LPS Lum,MPLA Abs,MPLA Lum,CpG Abs,cGAMP Abs,cGAMP Lum,LMCpG Abs,LMcGAMP Lum
O=S1(=O)CCC(NCc2ccccc2C(F)(F)F)C1,0.7576768285108493,0.7998553101614959,0.13099171394975218,-0.1388745776821297,-0.2753958873394063,-0.2744842597399024,0.1410586499024868,-0.07200342199905987,0.5329989949530007,0.015170738411411776,0.002076779616604057
O=C(O)c1cc2ccccc2[nH]1,-1.006035038416101,-0.8175688579512717,-0.40661952582079003,-0.2764131569126356,0.05797498047142957,-0.07236188805898432,-0.03885370320238945,0.02247303035894137,0.4969966913871648,-0.20650948908248581,0.01270879255586008
Cc1cc(C(O)CCNC(=O)COc2cccc3c2OC(C)(C)C3)c(C)o1,0.6711618267755476,0.8731780105259364,-0.1713644722208581,-0.25994492640103645,-0.1604068521990851,-0.5837297634889739,0.28469039422406717,-0.16144109803275108,0.008298323603807336,-0.04711162169341813,-0.38094549636714764
O=C1C(Cl)=C(N2CCCCC2)C(=O)N1c1cc(Cl)c(Cl)cc1Cl,0.6938331950393004,0.5998339384057955,-0.8651186500795899,-0.04104103486821642,-0.6945317013571604,-0.351948644057001,-0.7749540955506609,-0.962871959033762,-2.043260847190991,-1.0093064882143448,-0.9065278974361352
CC(=O)c1ccc(Nc2ncnc(Nc3ccc(C(C)=O)cc3)c2[N+](=O)[O-])cc1,0.7166029194897156,0.5029981510460017,0.03551609974816271,-0.0706155724537471,-0.4121218985410941,-0.41440096519962055,0.28187191134655387,0.5679816069554998,0.4915151655754663,-0.035860008885632504,-0.04199087682454314
COc1ccc2c(C)nc(Nc3nc(C)cc(-c4ccccc4)n3)nc2c1,1.0538145272559365,1.1841046343313937,-0.5068638658877263,0.5561139474173971,0.05612579617235938,0.769004073324711,-0.5990726579940361,0.4369269870030682,0.1299477756824572,-0.46669540448567337,0.654986835035985
O=C1c2ccccc2C(=O)C1c1ccccn1,0.5110710985246176,0.623576170134998,0.008177294637039971,-0.3038005509257875,-0.22432687018373954,-0.5519787008498356,-0.1643533699159387,-0.28509463599395274,0.06346403557262284,-0.14259516613562342,-0.36822503815720614
COc1cc(NC(=O)c2ccc(-c3ccc(Cl)cc3)o2)cc(OC)c1,-1.5235002234688702,-1.299233474314085,1.02356024384747,-0.1958646892712952,-0.1263554527597872,-0.7505125055262404,0.6713909270498277,-0.07233342658754534,-0.7281274753165874,0.7388950066844319,-0.6874564720974135
O=C(NCCN1CCN(c2ccccc2)CC1)c1ccc(F)cc1,0.7842478452605419,0.7012531797875702,-0.09654761391685988,-0.40905335669378257,-0.11181687367167673,-0.9248042140617356,0.16744051767648793,4.14285584929842,0.8594620407134486,-0.03219408897410283,-0.2995467574384011
Cc1c(Cl)ccc2c1NC(C(=O)O)C1CC=CC21,0.6135272748427882,0.7183940607728934,-0.07627937604380379,0.29899893025269975,-1.0450467588410859,-0.0048464552286847425,-0.5180594124639678,-0.47229938821993245,-1.0275322430682172,-0.6333141387210093,-0.22581653368438723
Cc1cccc(CSc2nn3c(=O)c(C)nnc3s2)c1,0.7546740674445699,1.0463362488880439,-0.36184181538444393,0.48907183003548177,-0.5207286772761455,0.40526291910946094,0.37668323458903985,-0.48181855533878065,0.17111925588045093,-0.25227498547960914,0.47613688816985145
CC(C)Oc1ccc(C(=O)N2CCC(c3ccccc3)S(=O)(=O)CC2)cc1,0.579102144544957,0.7036380234881573,-0.01803732127586924,0.15188643794413897,-0.6295069276235176,-0.12046991717223125,-0.1862349596627809,-0.0787721457333007,0.1823840143405904,-0.32036465295221994,0.08483121711849916
CCC1CN2CCC3(C(=O)Nc4ccccc43)C2CC1/C(=C\OC)C(=O)OC,-0.3809241097195191,-0.5999416839540823,0.05126047018081481,-0.2564117037247674,0.6492653039330525,0.6455415892602869,-0.3068637448601846,0.13958279841845733,0.5140156512469387,0.16364526693470044,0.3468306443295916
COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)(C)CN(C)CCC(c2ccccc2)c2ccccc2)C1c1cccc([N+](=O)[O-])c1.Cl,0.137994103901591,0.2819032300228322,-0.6888147504466707,1.7367046223935703,3.1661793644358998,5.380226745888277,-2.8448459094040044,-1.139354013509235,-2.8950619374527,-0.19443346120589083,2.1862092133583806
CC(C)(CO)n1cc(C(=O)c2cncc(NC(=O)Cc3ccc(Cl)cn3)c2)c2cnc(N)nc21,-0.05552893993728444,-0.4533432160120912,1.109700625120104,0.01187738857220668,0.09779735142840255,0.018754854807502108,0.46593143470207277,0.1252509632247343,-1.2724452144465708,0.7947943416668873,-0.441007861642872
Cc1ccc(S(=O)(=O)CCSc2cccc(C(=O)Nc3ccccc3)c2)cc1,0.7597157272823815,0.8072056113470919,-0.1330013251848856,0.5078305148326657,-0.5138124777142978,-0.15790942982158576,0.12134964363112842,-0.197816260597292,-0.2818170406599571,-0.22306734650248727,0.07339569950192273
CC(C)Cc1ccc(C(C)C(=O)O)cc1,0.3203218109985529,-0.3815058076802366,-0.2351205703608221,-0.1775495080079881,-0.010479540506198258,-0.20714587123997819,0.13432746220634867,0.3972571481903414,0.9282764924456726,-0.0785157220187061,0.15470004981585195
CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC.Cl.O.O.O,-2.316367006541422,-2.3047353754784643,-0.14088709434403585,0.04693803329493016,-0.12077041449613948,0.06782749339033074,-0.6156868625733768,0.2631778901445895,-0.04139267174626735,-0.3478284973515407,0.037854048209490156
