Catalog,PME Code,SMILES,Viability Mask 1,Viability Mask 2,LPS Abs,LPS Abs Std,LPS Lum,LPS Lum Std,MPLA Abs,MPLA Abs Std,MPLA Lum,MPLA Lum Std,CpG Abs,CpG Abs Std,cGAMP Abs,cGAMP Abs Std,cGAMP Lum,cGAMP Lum Std,LMCpG Abs,LMCpG Abs Std,LMcGAMP Lum,LMcGAMP Lum Std
S1458,Primary,O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl,94.9653,93.28261,0.580033779,0.080168888,0.8294823170000001,0.133870706,0.8012834790000001,0.1764142219999999,0.648892224,0.325180978,0.752522945,0.081534728,1.286788583,0.199932918,0.885738373,0.062414799,0.7112800676666667,0.1213767415900533,0.788037638,0.2062034929482567
S1459,Primary,O=C(NCc1ccccc1)c1csc(Nc2ccncn2)n1,91.22433,91.0064,0.8442624809999999,0.163069844,0.5077217820000001,0.058070879,0.934936523,0.2327815439999999,0.4012163279999999,0.169895038,1.007466912,0.092953764,1.081199169,0.16518791,0.652891815,0.024934802,0.9288886386666664,0.1726455168748727,0.5206099750000001,0.1046554589683584
S1460,Primary,O=C1c2ccccc2-c2n[nH]c3cccc1c23,82.47787,86.44264,0.37586385,0.051347993,0.204635158,0.015145202,0.836686611,0.1640607419999999,0.179635882,0.048829459,0.316042006,0.015643537,0.998107135,0.150921017,0.063797668,0.009020813,0.5095308223333334,0.0996615333693479,0.149356236,0.0299725890163799
S1470,Primary,Cc1[nH]c(/C=C2\C(=O)Nc3ccccc32)c(C)c1CCC(=O)O,96.00346,93.22914,0.731887341,0.1217074019999999,0.4746464489999999,0.034344453,0.7894607779999999,0.196495935,0.509938896,0.149940744,0.87703681,0.040692043,1.09759593,0.16561614,0.75220418,0.032340162,0.7994616429999999,0.1354980769071744,0.5789298416666666,0.0907517754488013
S1472,Primary,CC(NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O.CS(=O)(=O)O,94.74731,91.76197,1.080975056,0.148127481,0.956515312,0.058780383,1.068654537,0.241316661,0.619318962,0.2095249,1.172659636,0.116826117,1.075392008,0.162112489,0.778930902,0.278830767,1.107429743,0.176846282702325,0.7849217253333333,0.2042077486053887
S1474,Primary,CC1=C(C(=O)Nc2cc3cn[nH]c3cc2F)C(c2ccc(C(F)(F)F)cc2)CC(=O)N1,93.94107,91.69628,1.239081621,0.163275525,0.791953325,0.070594668,1.008128166,0.246813148,0.774327755,0.288909554,1.394006014,0.091754861,1.100174069,0.165608898,1.034388661,0.039250623,1.2137386003333333,0.1788803898389692,0.8668899136666667,0.173198295746424
S1476,Primary,Cc1cccc(-c2nc(C(C)(C)C)[nH]c2-c2ccc3nccnc3c2)n1,98.21445,90.75884,1.690416098,0.230942532,0.8417521720000001,0.077031679,1.257467031,0.314948589,0.6949806209999999,0.229719967,1.148336172,0.090976335,1.269117594,0.195884585,0.874192595,0.059564404,1.3654064336666665,0.2315194450650557,0.803641796,0.144052144530971
S1482,Primary,COC(=O)NC(C(=O)N1CCCC1c1ncc(-c2ccc(-c3ccc(-c4cnc(C5CCCN5C(=O)C(NC(=O)OC)C(C)C)[nH]4)cc3)cc2)[nH]1)C(C)C,94.28485,90.28655,1.879001856,0.37208882,4.150468826,0.220945776,1.305302143,0.335521907,3.257002354,0.7073479290000001,0.934663057,0.044405464,1.170418382,0.178630888,1.038817883,0.039350279,1.372989018666667,0.2904002325980269,2.8154296876666667,0.4284493642000219
S1483,Primary,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,96.06984,91.78239,1.147685528,0.1677095,0.958555102,0.048924033,0.853007555,0.149385571,0.753748298,0.28606537,0.716530442,0.055836525,1.130445242,0.171909228,1.062656164,0.056887884,0.9057411749999998,0.1336166690416053,0.9249865213333336,0.1707465844111475
S1484,Primary,Cn1cc(/C=C/C(=O)c2cccc(F)c2)cc1/C=C/C(=O)NO,89.47102,90.2793,1.258477926,0.208459631,0.992037296,0.056483991,1.064648747,0.340166092,0.4898818139999999,0.264398873,0.78663367,0.051206253,0.973103166,0.146754235,0.07422328,0.004066599,1.036586781,0.2322286719661668,0.51871413,0.1561129318905441
