depth,width,dropout,mlp,vmlp
1,32,0.1,0.0603795051574707,0.0327339768409729
1,64,0.1,0.0652864774068196,0.0444186925888061
1,128,0.1,0.0574339826901753,0.0404804150263468
1,256,0.1,0.0561369061470031,0.0322328408559163
1,512,0.1,0.0587324698766072,0.0356151660283406
1,32,0.2,0.0527035593986511,0.0367981791496276
1,64,0.2,0.0572117765744527,0.0480219920476277
1,128,0.2,0.0598838527997334,0.0389600793520609
1,256,0.2,0.0579473177591959,0.0367895364761352
1,512,0.2,0.0604803164800008,0.037909726301829
1,32,0.3,0.0637225111325581,0.0439641078313191
1,64,0.3,0.0666807293891906,0.0490456620852152
1,128,0.3,0.0599695245424906,0.0512031912803649
1,256,0.3,0.0571973125139872,0.0476627945899963
1,512,0.3,0.0571714242299397,0.0384222666422526
1,32,0.4,0.0522507826487223,0.0229962666829427
1,64,0.4,0.0519289771715799,0.0531716545422871
1,128,0.4,0.0604998469352722,0.0594985087712605
1,256,0.4,0.0526264508565266,0.0504730741182963
1,512,0.4,0.0578326781590779,0.051592747370402
1,32,0.5,0.0485318303108215,0.0297207434972127
1,64,0.5,0.0601424177487691,0.0602004925409952
1,128,0.5,0.0656269192695617,0.0598509709040323
1,256,0.5,0.0587422053019205,0.0567262768745422
1,512,0.5,0.0589106082916259,0.0513985554377237
1,32,0.6,0.0482579668362935,0.0171230236689249
1,64,0.6,0.0620986421902974,0.0567084948221842
1,128,0.6,0.056220789750417,0.0569374362627665
1,256,0.6,0.0599112113316853,0.0692860682805379
1,512,0.6,0.0618902444839477,0.05408376455307
1,32,0.7,0.0438690384229024,-0.000883142153422
1,64,0.7,0.0644949873288472,0.0528754591941833
1,128,0.7,0.0698652267456054,0.0625332395235697
1,256,0.7,0.0615521073341369,0.0753560463587443
1,512,0.7,0.0578439037005106,0.0648010571797688
2,32,0.1,0.0467242201169331,0.0415125290552775
2,64,0.1,0.0415684382120768,0.0459520816802978
2,128,0.1,0.0539793769518534,0.0421996116638183
2,256,0.1,0.0502847830454508,0.0375570058822631
2,512,0.1,0.0521939396858215,0.0343856612841288
2,32,0.2,0.046696921189626,0.0481621225674947
2,64,0.2,0.053118626276652,0.0540738304456075
2,128,0.2,0.0550539096196492,0.0438996354738871
2,256,0.2,0.0464881062507629,0.0392390489578247
2,512,0.2,0.0523837804794311,0.0399754842122395
2,32,0.3,0.0441204110781351,0.0356250007947286
2,64,0.3,0.0430319905281066,0.0532780687014261
2,128,0.3,0.0604357520739237,0.0512371659278869
2,256,0.3,0.0533301035563151,0.0420812765757242
