depth,width,dropout,vmlp,mlp,difference
1,550,0.1,0.046062663197517395,0.07251714169979095,-0.02645447850227356
1,600,0.1,0.04314671456813812,0.07217162847518921,-0.029024913907051086
1,650,0.1,0.04539792239665985,0.07012856006622314,-0.024730637669563293
1,750,0.1,0.04602441191673279,0.0664445012807846,-0.02042008936405182
1,800,0.1,0.04373882710933685,0.06881426274776459,-0.025075435638427734
1,850,0.1,0.04699273407459259,0.06637538969516754,-0.01938265562057495
1,900,0.1,0.04095061123371124,0.0670706033706665,-0.02611999213695526
1,950,0.1,0.04173426330089569,0.06709639728069305,-0.025362133979797363
1,1000,0.1,0.04189194738864899,0.06385532021522522,-0.021963372826576233
1,550,0.2,0.05006489157676697,0.07575052976608276,-0.025685638189315796
1,600,0.2,0.05253247916698456,0.07736808061599731,-0.024835601449012756
1,650,0.2,0.04933471977710724,0.07732495665550232,-0.02799023687839508
1,750,0.2,0.048142820596694946,0.07201944291591644,-0.023876622319221497
1,800,0.2,0.04811505973339081,0.07252173125743866,-0.02440667152404785
1,850,0.2,0.04833151400089264,0.07084032893180847,-0.022508814930915833
1,900,0.2,0.04748062789440155,0.07117624580860138,-0.02369561791419983
1,950,0.2,0.05014529824256897,0.0702248215675354,-0.02007952332496643
1,1000,0.2,0.050242289900779724,0.06682956218719482,-0.0165872722864151
1,550,0.3,0.056989848613739014,0.07146915793418884,-0.014479309320449829
1,600,0.3,0.058189019560813904,0.07693871855735779,-0.018749698996543884
1,650,0.3,0.0528654009103775,0.07907260954380035,-0.02620720863342285
1,750,0.3,0.05282658338546753,0.07667429745197296,-0.023847714066505432
1,800,0.3,0.04841533303260803,0.07341772317886353,-0.025002390146255493
1,850,0.3,0.05311557650566101,0.07455000281333923,-0.021434426307678223
1,900,0.3,0.048740267753601074,0.07314734160900116,-0.024407073855400085
1,950,0.3,0.0488288551568985,0.07352037727832794,-0.024691522121429443
1,1000,0.3,0.05103783309459686,0.07288059592247009,-0.02184276282787323
1,550,0.4,0.05583493411540985,0.08075067400932312,-0.02491573989391327
1,600,0.4,0.05941303074359894,0.07696788012981415,-0.01755484938621521
1,650,0.4,0.05656801164150238,0.07634997367858887,-0.019781962037086487
1,750,0.4,0.055412814021110535,0.07844935357570648,-0.023036539554595947
1,800,0.4,0.052966102957725525,0.07485447824001312,-0.021888375282287598
1,850,0.4,0.05300401151180267,0.07917661964893341,-0.026172608137130737
1,900,0.4,0.05679883062839508,0.07569169998168945,-0.018892869353294373
1,950,0.4,0.054575711488723755,0.07461826503276825,-0.020042553544044495
1,1000,0.4,0.05328710377216339,0.07830414175987244,-0.025017037987709045
1,550,0.5,0.05809737741947174,0.07878267765045166,-0.02068530023097992
1,600,0.5,0.059186890721321106,0.07810044288635254,-0.018913552165031433
1,650,0.5,0.05739925801753998,0.07801075279712677,-0.020611494779586792
1,750,0.5,0.05540916323661804,0.07573957741260529,-0.020330414175987244
1,800,0.5,0.0630607008934021,0.07840676605701447,-0.015346065163612366
1,850,0.5,0.058260902762413025,0.0781942754983902,-0.019933372735977173
1,900,0.5,0.05631667375564575,0.07667878270149231,-0.020362108945846558
1,950,0.5,0.055329203605651855,0.07919180393218994,-0.023862600326538086
1,1000,0.5,0.0564330518245697,0.07828745245933533,-0.021854400634765625
1,550,0.6,0.05604924261569977,0.08012981712818146,-0.02408057451248169
1,600,0.6,0.0568467378616333,0.07878439128398895,-0.021937653422355652
1,650,0.6,0.05864758789539337,0.08163908123970032,-0.022991493344306946
1,750,0.6,0.05994902551174164,0.07894137501716614,-0.0189923495054245
1,800,0.6,0.05789870023727417,0.08249534666538239,-0.024596646428108215
