train_mse,validation_mse,validation_r2
0.24952198565006256,0.26143863797187805,0.7412203756799282
0.1685740053653717,0.0994172915816307,0.8974672711371816
0.07103679329156876,0.11234190315008163,0.8952852378136797
0.11074350774288177,0.08241860568523407,0.9185094697194478
0.05166686326265335,0.0743083655834198,0.9278033330671337
0.14178037643432617,0.07910539954900742,0.9204336204170319
0.108853280544281,0.0624162033200264,0.9390684808329772
0.050479136407375336,0.05685956031084061,0.938871935661749
0.039576273411512375,0.05996540188789368,0.9402468203944871
0.05145891755819321,0.05587027594447136,0.944783061473751
0.048944346606731415,0.051973551511764526,0.9450401945057045
0.03831778094172478,0.047757502645254135,0.9508360802831307
0.05967240035533905,0.04946810007095337,0.9547743362760365
0.04149143025279045,0.05212518572807312,0.9457184765117973
0.054094940423965454,0.04399649426341057,0.9550369034452848
0.048410311341285706,0.04835209250450134,0.952350380160577
0.028941109776496887,0.04079507291316986,0.9544877043014026
0.026631267741322517,0.04758991301059723,0.9505255128033433
0.11180167645215988,0.04426535218954086,0.9555194488824038
0.05006536468863487,0.042461998760700226,0.9552205039325214
0.060117218643426895,0.04509316012263298,0.9544734468353151
0.04785696417093277,0.04427441954612732,0.9536811488027819
0.01831350289285183,0.04677996411919594,0.9529489093816731
0.03837542235851288,0.0471712127327919,0.9536846138196605
0.040045201778411865,0.04169562831521034,0.9569766530809981
0.038738422095775604,0.04128297045826912,0.9579763830691479
0.026934107765555382,0.03801640495657921,0.9613520810371132
0.028609557077288628,0.038792651146650314,0.9602590153251235
0.032640036195516586,0.04038252681493759,0.959612079704858
0.08183301240205765,0.042112067341804504,0.9613998477920037
0.035715971142053604,0.03918537124991417,0.9590975982779961
0.03404642641544342,0.04004499316215515,0.9616675274447215
0.08049850165843964,0.044343847781419754,0.9567458431442203
0.03095550648868084,0.037139903753995895,0.96450509228862
0.022295448929071426,0.03861401602625847,0.9599988337892085
0.04511215537786484,0.04055043309926987,0.9603671645859292
0.040119800716638565,0.03708752989768982,0.9595052461770961
0.03809093311429024,0.04066114127635956,0.9600857222553352
0.024074576795101166,0.04260511323809624,0.9551429476808465
0.02171381190419197,0.03619728237390518,0.9619751093758904
0.027455447241663933,0.0424756221473217,0.9588620851111621
0.044925034046173096,0.03704889118671417,0.9629524588529937
0.03244057670235634,0.04126949608325958,0.9593554972408265
0.04983029142022133,0.040357522666454315,0.9606044827533966
0.038429826498031616,0.03393925353884697,0.9654016533429747
0.04341491311788559,0.0336025170981884,0.9651545146045986
0.07236366719007492,0.03597594425082207,0.9634739692331195
0.015637872740626335,0.03534397855401039,0.9637601631237447
0.033315643668174744,0.03719707205891609,0.9621097576230565
0.0398048534989357,0.03365123271942139,0.9670608715505051
0.04211968556046486,0.036937445402145386,0.9632978995125078
0.02967689372599125,0.038474004715681076,0.9590626073256583
0.03307909145951271,0.04170931503176689,0.9598531287324599
0.06601912528276443,0.03382406011223793,0.9663681852237811
0.07835743576288223,0.03675437346100807,0.9649360780231883
0.049170706421136856,0.03428812697529793,0.9651108050744737
0.035391367971897125,0.03218185901641846,0.9678306972705811
0.019167786464095116,0.0333111509680748,0.9646374031445321
0.028238026425242424,0.033987317234277725,0.9657839203894876
0.017108041793107986,0.03652913123369217,0.9636443169599386
0.045802850276231766,0.036447666585445404,0.9654154029525891
0.03582209721207619,0.03565433993935585,0.9607619327581539
0.0354434959590435,0.0841141939163208,0.9237424272078294
0.03374443203210831,0.03563293069601059,0.9607401292906103
