train_mse,validation_mse,validation_r2
0.11467953771352768,0.22249652445316315,0.7772982128705661
0.16335999965667725,0.10543721169233322,0.8931766662812154
0.1478615254163742,0.07916980236768723,0.917772546962192
0.06413346529006958,0.08003801107406616,0.9158018896759897
0.0669102668762207,0.06978874653577805,0.9253723176213183
0.0824214443564415,0.055121179670095444,0.9479210284667728
0.04255190119147301,0.051841504871845245,0.9499740488560018
0.047228436917066574,0.05899142846465111,0.9451552062257922
0.04630764573812485,0.051768116652965546,0.9501386522725355
0.0360196977853775,0.04624384641647339,0.9553517466975464
0.03299738094210625,0.04183955118060112,0.9564404410835863
0.03307865560054779,0.042790066450834274,0.95704753754618
0.027381815016269684,0.04813972860574722,0.9548661813450939
0.047564152628183365,0.039578307420015335,0.9578705712367905
0.026588192209601402,0.04253188520669937,0.9563773846626744
0.07890774309635162,0.044540226459503174,0.9538221670539521
0.023903369903564453,0.037317149341106415,0.9644411185050378
0.02287929318845272,0.038755256682634354,0.9629096616154003
0.03714251145720482,0.03948209434747696,0.96166399234664
0.07560230046510696,0.09216532111167908,0.9127087230796113
0.034861162304878235,0.03869470953941345,0.9623927857196082
0.044008176773786545,0.03828584402799606,0.9572031280285096
0.01988862082362175,0.040282342582941055,0.9602053922224129
0.019760746508836746,0.03306015953421593,0.9651216637928672
0.06797036528587341,0.03783049061894417,0.9632489759956705
0.017541946843266487,0.031895969063043594,0.9672719113911528
0.01831594668328762,0.031140103936195374,0.9664783416190948
0.053418129682540894,0.03648483380675316,0.9645870705969631
0.05612766742706299,0.03982188552618027,0.9600627867885593
0.02400832436978817,0.033763568848371506,0.9636087307622077
0.04007114842534065,0.032881930470466614,0.9676228153654997
0.03213774785399437,0.03577934205532074,0.9648106268169465
0.023105526342988014,0.03371759504079819,0.9661800790383751
0.06409207731485367,0.030349628999829292,0.9678074741629299
0.024901138618588448,0.036241281777620316,0.9646217181181527
0.02263033203780651,0.03223205730319023,0.9665434673241935
0.021125270053744316,0.03233885392546654,0.9673816188105097
0.03347362205386162,0.03431924432516098,0.9650397517379343
0.028206508606672287,0.03580281510949135,0.9647183958697352
0.02405489608645439,0.03174202889204025,0.9681803321455152
0.016737433150410652,0.029410304501652718,0.97057474967745
0.04588005319237709,0.029292374849319458,0.9691908671335504
0.03934001177549362,0.029032660648226738,0.9722834851529615
0.018403956666588783,0.030538951978087425,0.9696019722308875
0.032899532467126846,0.028589336201548576,0.9708126352267464
0.05590639263391495,0.03541448339819908,0.9648521218835082
0.038346000015735626,0.03593699261546135,0.9621481195470749
0.023103227838873863,0.0307388287037611,0.9693055360122411
0.02211952582001686,0.03064732626080513,0.9669472443648756
0.018384447321295738,0.029827438294887543,0.9688907815610713
0.04871278628706932,0.033245641738176346,0.9657190705124893
0.01516323909163475,0.029983559623360634,0.9690778466961876
0.04494793340563774,0.02765723131597042,0.9710596062729029
0.02616405487060547,0.03143032640218735,0.9671547117954766
0.03127019852399826,0.02771509625017643,0.9728951689553325
0.025490347295999527,0.03270851820707321,0.9680284017484689
0.06086937338113785,0.030009673908352852,0.9684435355993111
0.01876755617558956,0.02973136119544506,0.970588491894717
0.047059185802936554,0.0279983002692461,0.9702323513621273
0.015163608826696873,0.028017273172736168,0.9718227504961889
0.042715657502412796,0.03039703518152237,0.9688269180298594
0.029103269800543785,0.02667253091931343,0.9727257620344925
0.023886220529675484,0.02712900936603546,0.972543444803131
0.016379041597247124,0.032198142260313034,0.9665819261195954
