depth,dropout,width,mlp,rmlp,vmlp,rvmlp
1,0.2,100,0.01608280837535858,0.014984279870986938,-0.0021050870418548584,0.0014693737030029297
1,0.2,200,0.014253094792366028,0.017139092087745667,-0.002360522747039795,-0.00234009325504303
1,0.2,300,0.013089343905448914,0.01199251413345337,-0.00470811128616333,-0.002118408679962158
1,0.2,400,0.015004277229309082,0.01355983316898346,-0.0030202865600585938,-0.0019154548645019531
1,0.2,500,0.013952076435089111,0.011372849345207214,-0.0031514763832092285,-0.003000319004058838
1,0.2,600,0.01368267834186554,0.012417986989021301,-0.002167731523513794,-0.004561632871627808
1,0.2,700,0.013701185584068298,0.01337653398513794,-0.0031958818435668945,-0.0037911534309387207
1,0.2,800,0.013129964470863342,0.011826902627944946,-0.002003982663154602,-0.0025458335876464844
1,0.2,900,0.014300942420959473,0.011968791484832764,-0.00387004017829895,-0.005569443106651306
1,0.2,1000,0.01161600649356842,0.012182578444480896,-0.005071759223937988,-0.0036686062812805176
1,0.3,100,0.01639673113822937,0.014226838946342468,-0.002545267343521118,-0.002527490258216858
1,0.3,200,0.014126300811767578,0.014393389225006104,-0.002512723207473755,-0.0010773837566375732
1,0.3,300,0.013931706547737122,0.01292988657951355,-0.00230368971824646,-0.000240325927734375
1,0.3,400,0.013117894530296326,0.013921424746513367,-0.0033994317054748535,0.0020564645528793335
1,0.3,500,0.014249056577682495,0.013737857341766357,-0.0022408664226531982,-0.0025916695594787598
1,0.3,600,0.01291726529598236,0.013080865144729614,-0.0018974989652633667,-0.0005795955657958984
1,0.3,700,0.013278201222419739,0.012629806995391846,-0.003332376480102539,-0.0047245025634765625
1,0.3,800,0.011964455246925354,0.013196170330047607,-0.003875225782394409,-0.002420753240585327
1,0.3,900,0.012573182582855225,0.011623471975326538,-0.0019793808460235596,-0.005311071872711182
1,0.3,1000,0.012621700763702393,0.012178882956504822,-0.003970921039581299,-0.0038659870624542236
1,0.4,100,0.014732837677001953,0.01383720338344574,-0.001247704029083252,-0.002704024314880371
1,0.4,200,0.013496503233909607,0.013644084334373474,-0.002077341079711914,-0.0004737377166748047
1,0.4,300,0.013688966631889343,0.01246596872806549,-0.0008492916822433472,-0.0011416971683502197
1,0.4,400,0.013480424880981445,0.013612121343612671,-0.00139656662940979,0.0002829134464263916
1,0.4,500,0.013569340109825134,0.01328819990158081,-0.0022719502449035645,-0.001893371343612671
1,0.4,600,0.013151511549949646,0.012239724397659302,-0.003746509552001953,-0.00217592716217041
1,0.4,700,0.013285204768180847,0.011936545372009277,-0.004075914621353149,-0.003053814172744751
1,0.4,800,0.012715131044387817,0.011660739779472351,-0.004538863897323608,-0.0033119618892669678
1,0.4,900,0.011832863092422485,0.012201011180877686,-0.0026613175868988037,-0.0019867122173309326
1,0.4,1000,0.011369258165359497,0.01094643771648407,-0.0030583441257476807,0.00013515353202819824
1,0.5,100,0.014700084924697876,0.015804871916770935,4.926323890686035e-05,-0.0007181614637374878
1,0.5,200,0.014418244361877441,0.013374745845794678,-0.0006267279386520386,-0.000547945499420166
1,0.5,300,0.014829814434051514,0.014704152941703796,-0.001473754644393921,-0.0006862729787826538
1,0.5,400,0.013345703482627869,0.01295684278011322,-0.0020117759704589844,-0.0009759366512298584
1,0.5,500,0.015773117542266846,0.011815294623374939,-0.003556668758392334,-0.0016899704933166504
1,0.5,600,0.011846959590911865,0.014120817184448242,-0.004498302936553955,-0.0005406588315963745
1,0.5,700,0.011846795678138733,0.01278887689113617,-0.0034185945987701416,-0.0032309293746948242
1,0.5,800,0.012943610548973083,0.014984965324401855,-0.003358215093612671,-0.002299204468727112
