depth,width,dropout,vmlp,mlp,difference
1,50,0.1,0.013757497072219849,0.044476598501205444,-0.030719101428985596
1,100,0.1,0.03416116535663605,0.0642194002866745,-0.030058234930038452
1,150,0.1,0.04528014361858368,0.07379864156246185,-0.028518497943878174
1,200,0.1,0.049948349595069885,0.07063630223274231,-0.020687952637672424
1,250,0.1,0.050125330686569214,0.07069048285484314,-0.020565152168273926
1,300,0.1,0.04698573052883148,0.07332471013069153,-0.026338979601860046
1,350,0.1,0.043874576687812805,0.07573001086711884,-0.03185543417930603
1,400,0.1,0.04610207676887512,0.07578293979167938,-0.02968086302280426
1,450,0.1,0.0436326265335083,0.07368449866771698,-0.03005187213420868
1,500,0.1,0.045510679483413696,0.07095971703529358,-0.025449037551879883
1,50,0.2,0.014661148190498352,0.039726898074150085,-0.025065749883651733
1,100,0.2,0.0259854793548584,0.056878462433815,-0.030892983078956604
1,150,0.2,0.03948800265789032,0.06924577057361603,-0.029757767915725708
1,200,0.2,0.048885613679885864,0.07166916131973267,-0.022783547639846802
1,250,0.2,0.05065259337425232,0.07641749083995819,-0.02576489746570587
1,300,0.2,0.05336768925189972,0.07571963965892792,-0.022351950407028198
1,350,0.2,0.05339859426021576,0.07876987755298615,-0.025371283292770386
1,400,0.2,0.04952539503574371,0.07575996220111847,-0.026234567165374756
1,450,0.2,0.05015726387500763,0.07396405935287476,-0.023806795477867126
1,500,0.2,0.053855568170547485,0.0739252120256424,-0.02006964385509491
1,50,0.3,0.006232067942619324,0.03470650315284729,-0.028474435210227966
1,100,0.3,0.02701769769191742,0.057047560811042786,-0.030029863119125366
1,150,0.3,0.03767940402030945,0.06756541132926941,-0.02988600730895996
1,200,0.3,0.042500823736190796,0.07397215068340302,-0.03147132694721222
1,250,0.3,0.050786927342414856,0.0715353786945343,-0.020748451352119446
1,300,0.3,0.05429825186729431,0.0800468772649765,-0.02574862539768219
1,350,0.3,0.05324050784111023,0.07791115343570709,-0.024670645594596863
1,400,0.3,0.05407232046127319,0.07706573605537415,-0.022993415594100952
1,450,0.3,0.05708654224872589,0.07690539956092834,-0.019818857312202454
1,500,0.3,0.055888086557388306,0.07546794414520264,-0.01957985758781433
1,50,0.4,0.007760137319564819,0.028340667486190796,-0.020580530166625977
1,100,0.4,0.020711198449134827,0.04988071322441101,-0.029169514775276184
1,150,0.4,0.030760973691940308,0.06687189638614655,-0.03611092269420624
1,200,0.4,0.03789639472961426,0.06836743652820587,-0.030471041798591614
1,250,0.4,0.04851493239402771,0.07382158935070038,-0.02530665695667267
1,300,0.4,0.04790635406970978,0.07737421989440918,-0.029467865824699402
1,350,0.4,0.05323310196399689,0.07475638389587402,-0.021523281931877136
1,400,0.4,0.05650073289871216,0.07896304130554199,-0.022462308406829834
1,450,0.4,0.059842512011528015,0.07918237149715424,-0.01933985948562622
1,500,0.4,0.05634140968322754,0.0818750411272049,-0.025533631443977356
1,50,0.5,0.003425225615501404,0.018436551094055176,-0.015011325478553772
1,100,0.5,0.014386311173439026,0.04031717777252197,-0.025930866599082947
1,150,0.5,0.022339582443237305,0.0548686683177948,-0.032529085874557495
1,200,0.5,0.03512948751449585,0.060099974274635315,-0.024970486760139465
1,250,0.5,0.04168026149272919,0.06965263187885284,-0.027972370386123657
1,300,0.5,0.04795020818710327,0.07268363237380981,-0.024733424186706543
1,350,0.5,0.051847442984580994,0.07392458617687225,-0.02207714319229126
1,400,0.5,0.05236823856830597,0.08151988685131073,-0.02915164828300476
1,450,0.5,0.05625733733177185,0.07816310226917267,-0.021905764937400818
1,500,0.5,0.056423038244247437,0.08091935515403748,-0.02449631690979004
1,50,0.6,0.0016363710165023804,0.020894065499305725,-0.019257694482803345
1,100,0.6,0.007152944803237915,0.032294124364852905,-0.02514117956161499
1,150,0.6,0.01886838674545288,0.042716652154922485,-0.023848265409469604
1,200,0.6,0.023606598377227783,0.05760456621646881,-0.03399796783924103
1,250,0.6,0.029272913932800293,0.0618191659450531,-0.03254625201225281
1,300,0.6,0.03593085706233978,0.0645022839307785,-0.02857142686843872
1,350,0.6,0.04185543954372406,0.07186461985111237,-0.030009180307388306
1,400,0.6,0.04501865804195404,0.07460592687129974,-0.029587268829345703
1,450,0.6,0.05068190395832062,0.07715527713298798,-0.02647337317466736
1,500,0.6,0.05188170075416565,0.07703328132629395,-0.025151580572128296
1,50,0.7,0.0009490847587585449,0.008841782808303833,-0.007892698049545288
