property_CpG_Abs,property_LPS_Abs,property_LPS_Lum,property_MPLA_Abs,property_MPLA_Lum,property_cGAMP_Abs,property_cGAMP_Lum
-0.007982884518456412,-0.018169306880791325,0.000380286868228108,-0.01297387004560413,-0.004146347364342828,-0.0030313882249120017,-0.027001487573600658
0.0001775404717745399,-0.0016623283539900502,-0.020323127621709514,0.0013586480245858512,-0.001270409276228568,-0.004282944265077138,-0.03550454280438342
-0.021277551180545418,-0.0065282625210532075,-0.005682460656317723,-0.005476264540545284,-0.010146254185080306,0.004308712743089971,-0.011062930729088816
-0.006271488046433404,-0.0034769822358955427,-0.002669521491995619,-0.004341259783970486,-0.003495313702009062,-0.001545808661553183,-0.00558196449204118
-0.002439789528890568,-0.048591467457668625,-0.012208284947177628,-0.0013915772824737438,-0.00414241311767527,-0.007282319186385777,-0.014701038149538714
-0.0026052136363696743,-0.009385800613319395,-0.037253555470044164,-0.0023635353727169406,-0.0010773878208469867,-0.004396191163627661,0.001053200400988219
-0.02767778780152863,-0.0038203063335091603,-0.0007165094442735942,-0.004856157076017498,-0.0033317595811428458,-0.00048735637307628643,-0.00668337106838246
-0.008883144567867207,-0.054020421065293034,-0.010481781936912737,0.00018786985417651447,-0.0015189608980215041,-0.00035693108526313466,-0.007075319875345487
-0.0008172701823341288,-0.004860395347909163,-0.018389604197009968,-0.020510939011658902,-0.010409487159219077,-0.004246453287118035,-0.0023236148761625053
-0.06094175691919834,-0.0010963979708931149,-0.015074931751171139,-0.0018714987180772358,-0.015589991638869316,-0.0023746243454820792,-0.0060565184458885035
-0.005991718322218231,-0.036630492909717205,-0.012190306416778096,-0.006183680573790706,0.0022277635016026975,0.0008527620612067688,0.0019148734793023037
-0.0023279555581730005,-0.013238025521440377,0.0006636785418897562,-0.0065766774566509145,0.0020839885810911563,0.00036539688933256986,-0.0054045205781221295
-0.004596921135710419,0.00043784380917277765,-0.006060745398897449,-0.008191205958062664,0.0011975538957063048,-0.00011103528852229871,-0.0012132376238376263
0.0008351182182781969,-0.010871578375502677,-9.054898333360484e-05,-0.028542757188200873,-0.008117555904385121,-0.0316845805371162,-0.0011600202078154709
-7.757654380635692e-05,0.00044009714328663296,-0.0013707910610654128,-0.0334000118631963,-0.014250738626855108,-0.002163458155446163,-0.03661532636838416
0.0008245226848542231,-0.010297294381280686,-0.024471123033390718,0.0004780150199822364,-0.001103378768116059,-0.006713337055495705,-0.007511849804576309
0.0001871832683542074,-0.01299563475855714,-0.0012004948228174772,-0.011934037766827998,-0.01104247228125943,-0.004064582275202122,-0.03249334089086209
-0.01709459805874114,-0.012265936164578939,-0.043340118849263254,-0.007500038774268747,-0.0011531307004863933,-0.025100933974689488,0.00042539654472495414
-0.0030137322990471116,-0.0008769167328253058,-0.0033744256438110742,-0.005516108614630255,-0.0022405724294674023,-0.023203711683656758,-0.0016931531728021643
-0.012311889987257407,-0.006409120729828022,-9.145867752202719e-05,-0.00681686988084329,-0.0015139451632251166,-0.005129654820962282,-0.00011884188561461784
-0.0038726240668709444,-0.015577477423011299,-0.0010146453617090323,-0.00530524269052246,-0.015756787672847272,-0.0026150440296381916,-0.008389781581045641
-0.0176443450882513,-0.03174712818478698,-0.00820975403644697,-0.005257519570396774,-0.012916253842012004,-0.03112975032183285,-0.0007237575156382459
-0.004777402521680241,-0.002860351149659879,-0.0031867131006477756,-0.013506428339609355,-0.015350387339042149,-0.061879371127786964,0.00024938868035617734
-0.015967348913156654,-0.03076176179975354,-0.008878156099138002,-0.0006787102745848816,-0.0015623810535605465,-0.003915902533297544,-0.02336179572636543
0.0003205328874791302,-0.01551385555075413,-0.008407854384508306,-0.00028434674194954823,0.003265853601212898,-0.012162530987378073,-0.02737965437234946
5.907253168890847e-05,-0.04978921269433512,-0.005007923770723455,-0.00047609631918743567,-0.0043308398317600805,0.00018862919659434763,-0.0029007793733586418
-0.003273148516567126,-0.001252537781089691,-0.0013905727834675474,-0.0075273692076136545,-0.011348907393497365,-0.005010889157854637,-0.009066940380293431
-0.006195161184091358,-0.0083072350376725,-0.019597249127767613,9.965130541755851e-05,-0.02497285504473723,-0.016849217883914358,-0.008081469191607127
-0.003579403151594329,-0.007613811163329931,-0.0008860447288789874,-0.007581500003256192,-0.004809523407730998,-0.0015974270453000816,-0.0021653076264640525
-0.01906834557551207,-0.025379208261248287,0.0023333778598964017,0.007546869054174454,-0.018614109262327982,0.0019602204901940645,-0.008624884441730929
-0.0012877775661861435,0.00024035639522612673,-0.0002346536323949433,-0.0007491926277987115,-0.002340699717250594,-0.00041058380545222484,-0.008550546720388574
-0.01747145003121031,-0.004705429817671414,-0.013733271219594778,0.0007928746116688812,-0.008345637563522024,-0.0011370851181047303,-0.004410816552470775
-0.0008266196497688227,-0.005042854731361235,0.0006605378870438994,-0.015716865613458753,0.0002697850351924824,-0.00015381233569056185,-0.004512297915241437
-0.00683581838929137,-0.005125049469605347,-0.00036202982863819955,0.0005879384115006214,-0.010752601195423539,-0.004016716801447995,-0.0028079418244324472
-0.016005461088991035,-0.0033828648016167584,-0.0076918151553655445,0.0009932661608357263,-0.0029140464821628687,-0.003304467328831162,-0.0036036782311750226
-0.0021738252905822986,-0.07844195867659542,-0.011146735103530592,-0.0099501335730936,0.0006504508750495575,-0.003592431541895369,-0.007343701857332796
-0.001342539331683934,-0.008165246878685029,-0.0008090558094144829,-0.00043028130260647224,3.835512302030608e-05,-0.00014562416390395683,-0.005099907118984337
-0.005444267379967727,-0.011006619850889132,-0.01950995420246171,-0.023938610142522743,0.0004260087555594261,-0.03079442396314147,-0.00781456349818277
-0.00039029971828719034,-0.060101770407128496,-0.017635797692906907,-0.0017691674310338357,9.361347206382487e-05,-0.0009231986974576056,-0.0009495966331791728
-0.0013044057254363306,-0.009784415921062717,-0.007033934516680107,-0.0032308937162155438,-0.015706660348051127,-0.021171976720378405,-0.0016838967734502663
0.0025957666254099454,-0.032564051216698475,-0.0009427357787321622,-0.006054816198647117,-0.007498402895373069,0.0027318284871604703,-0.011298176996261677
-0.0009591078412869436,-0.024881386990373455,-0.00033491760487280864,-0.00037748131544290686,-0.006111959487371088,-0.004224193038180557,-0.00939381961812713
-0.025660258564443428,-0.004025167101134652,-0.007721979410222346,-6.161376106361693e-05,-0.0011924959798035317,0.0015534204590375023,-0.032342890264660085
