SMILES,property_LPS_Abs,property_LPS_Lum,property_MPLA_Abs,property_MPLA_Lum,property_CpG_Abs,property_cGAMP_Abs,property_cGAMP_Lum
Cc1ccc(CSCCNC(=O)CN(c2cccc(C)c2)S(C)(=O)=O)cc1,-0.19311789142695526,1.0657365157428278,-0.24336408269439552,0.06229623274013142,-0.04329784163140294,-0.1351971941640745,0.4485952699136899
Cc1ccccc1C(=O)Nc1nc(C(C)(C)C)cs1,-0.21971288219980703,0.4483566544345712,0.20601381550452744,0.7153834914851357,-1.5913066790589414,0.052838847617908004,-0.4049530902545044
Cc1ccc(NC(=O)c2cccc(C(C)(C)C#N)c2)cc1Nc1ccc2ncn(C)c(=O)c2c1,3.7007951944105364,-0.8139611290205574,1.6910642783326841,-0.639376929126207,0.47219547680912693,0.47434068445586725,-1.2493411006814354
CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,1.8081242984976809,-0.783838518626589,4.550291344585172,-0.09725809516418057,5.200731311403655,0.5414162060089296,-0.8200348198835634
CN1C2CCC1CC(OC(=O)[C@H](CO)c1ccccc1)C2,-0.31386012501673255,-0.3398934807751574,-0.2648578499428772,-0.8549436564428675,0.30398544602037303,-0.3415360426363172,0.28542786219039284
Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC(CCO)CCO)nc21,-0.7009093001739076,0.2532786986835436,-0.8900477805638726,0.35875498267366035,-1.1598860209788375,0.12606156463994647,-0.12026522052118684
CCOP(C)(=O)C(c1ccccc1)N(C)S(C)(=O)=O,-0.09698538285076977,1.7148726922219397,-0.09486700226077824,0.28524916605101164,0.18483394147248197,-0.25382158138998917,0.5712404401211573
CCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CC)c1=O,0.4915565511339607,0.3792453643670566,0.27217833269055886,0.6080702098302221,2.1270667235170886,-0.6393679075759964,-0.6216755451173466
COc1ccc(C(=O)C=Cc2cc(OC)c(OC)c(OC)c2)c(OC)c1,-1.9002302928004784,-2.0272063648626597,-1.9975493324934834,-3.1035527953641875,1.2536857169989033,-1.3595124137173877,-2.8968099505488665
O=C(NC(=S)Nc1ccc2[nH]c(=O)[nH]c2c1)c1ccc(Cl)cc1,0.12564894497690848,-0.15966684005355053,-0.3821699992734451,-0.4252902242360759,-0.018098290612288397,-0.23382116562738312,0.22423713476479137
